Main URL,Record ID,Main Title,Publication Place,Publisher,Publication Date,Physical Description,Topical Subject,Resource URL,Alternative URL,Subtitle,Responsibility,Personal Author,Corporate Author,Abstract/Summary,Bibliography Note,Variant Title,Subject Source,System Control Number,Material Type,Language,ISSN/ISBN,Ilo Name,Leader (Format),Year
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992315123402676,992315123402676,Government action in dealing with unemployment in Italy.,Geneva :,"ILO,",1920.,28 p.,employment policy.,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_C2_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_C2_engl.pdf,,,,International Labour Organisation.,"Study of employment policy measures for emergency relief in Italy, 1914 to 1920, to deal with unemployment caused by the First World War - describes employment of workers in the rice-fields and unemployment benefit of munitions workers during the war, subsidies for the unemployed after the armistice and the 1917 labour legislation introducing a general compulsory unemployment insurance, reorganisation of employment services and granting of evaluation for public works; gives trade union attitudes and proposed amendments to the 1919 decree.",,,ilot,161084,,,,ILO-SR/C2 ENGL,04427cam a22012614u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/993080653402676,993080653402676,Hours of labour and their effect on manning and accommodation.,London :,"Harrison,",1920.,124 P. + ANNEX,hours of work,http://www.ilo.org/public/libdoc/ilo/1920/20B09_9_engl.pdf,http://www.ilo.org/public/libdoc/ilo/1920/20B09_9_engl.pdf,,,,International Labour Organisation.,Based on the replies of 15 countries to a questionnaire addressed to the governments of member States. Reviews the law and practice dealing with hours of labour for seafarers in those countries.,,,ilot,259120,,,,20B09/9 ENGL,03619cam a22011174u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992313153402676,992313153402676,International congress of metal workers..,Geneva :,"ILO,",1920.,11 p.,international trade union,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A9_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A9_engl.pdf,,,,International Labour Organisation.,"Conference report of the international trade union for the metalworking industry, 1920 - includes delegates from 11 countries and 16 organisations and one representative of the ILO; gives the agenda concerning resolutions on international relations and reduced hours of work, reorganisation of the federation and revision of its trade union constitution. Conference held in Copenhagen 1920 Aug 20 to 26.",,,ilot,160854,,,,ILO-SR/A9 ENGL,03387cam a22009014u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992312833402676,992312833402676,International congress of workers in the food and drink trades.,Geneva :,"ILO,",1920.,8 p.,international,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A4_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A4_engl.pdf,,,,International Labour Organisation.,"Conference report on the international congress of food workers trade union federations, 1920 - lists delegates from Western Europe, Hungary, Czechoslovakia, North America and a representative of the ILO; gives the agenda incl. A proposal for creation an international federation of workers in the food and drink trades (bakers, butchers, Hotel workers, etc.), discussion on the constitution of the union, etc.; includes texts of three resolutions voted on night work, the USSR and socialist organisation of industry. Conference held in Zurich 1920 Aug 25 to 27.",,,ilot,ilb160821,,,,ILO-SR/A4 ENGL,05589cam a22017654u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995017192302676,995017192302676,"International Labour Conference first annual meeting, October 29, 1919 - November 29, 1919","Washington, D.C. :","Government Printing Office,",1920.,1 online resource (300 p.),International Labour Conference,,,"Washington, D.C., U.S.A.",,,League of Nations.,,,[Record of proceedings],ilot,,[electronic resource] :,,,,02053cam a2200469 a 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992313113402676,992313113402676,International labour organisation: a comparison.,Geneva :,"ILO,",1920.,10 p.,ILO,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A8_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A8_engl.pdf,,,,International Labour Organisation.,"Comparison of the ILO and its predecessor the International Association of Labour Legislation, created ten years after the Berlin international conference on labour standards, held in 1890 - gives a brief historical review of the Association, its aims on working conditions, hours of work, woman workers, night work, labour inspection, etc., its failure and the subsequent establishment of the ILO; explains the tripartite structure of the international labour conferences; covers the development and activities of the Organisation incl. ILO Conventions",,,ilot,160850,,,,ILO-SR/A8 ENGL,03699cam a22010574u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992259363402676,992259363402676,Labour conditions in soviet Russia: systematic questionnaire and bibliography prepared for the mission of enquiry in Russia.,London :,"Harrison,",1920.,"294, CXLIV P.",working conditions,http://www.ilo.org/public/libdoc/ilo/1920/20B09_7_engl.pdf,http://www.ilo.org/public/libdoc/ilo/1920/20B09_7_engl.pdf,,,,International Labour Organisation.,"Report on working conditions and labour relations in the USSR immediately after the Bolshevik Revolution, prepared for an ILO Mission and based on an extensive literature survey of documents published between 1917 and 1920 - covers hours of work, wages, woman workers, child labour, unemployment, work at home, social security, forced labour, strikes, labour administration, trade unions, nationalization, workers control, cooperatives, managerial and technicians. Extensive bibliography of ILO publications and selected annotated bibliography.",,,ilot,153428,,,,20B09/7 ENGL,07034cam a22021374u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/993492813402676,993492813402676,The labour provisions of the peace treaties /,Geneva :,"ILO,",1920.,"14 p., 1 l.",ILO,http://www.ilo.org/public/libdoc/ilo/1920/20B09_18_engl.pdf,http://www.ilo.org/public/libdoc/ilo/1920/20B09_18_engl.pdf,,International Labour Office.,,International Labour Office.,,,,ilot,ocm12418291,,,,20B09/18 ENGL,03042cam a2201033K  4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995018593402676,995018593402676,List of delegates and advisers,"Washington, D.C. :","Government Printing Office,",1920.,1 online resource (p. 5-10),International Labour Conference,,,,[International Labour Conference],,League of Nations.,"List of delegates and advisers to the first meeting of the International Labour Conference, held in Washington, D.C., Oct. 29, 1919 - Nov. 29, 1919.",,,ilot,,[electronic resource] /,,,,01930cam a2200469 a 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995021593102676,995021593102676,Memorandum by the Secretary-General,[Geneva] :,"ILO,",1920.,1 online resource (p. 11),ILO Governing Body,,,,,,International Labour Organisation.,"Problems before the International Labour Conference including preparation for the International Seamen's Conference, Children's Commission, Commission on Hours of Work, preparation of forms, collection of information on unemployment, public employment agencies, collection of information on agricultural unemployment, migration of workers.",,,ilot,,[electronic resource],,,,01830cam a2200385 a 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995021593202676,995021593202676,Memorandum by the Secretary-General on the work of the Governing Body,[Geneva] :,"ILO,",1920.,1 online resource (p. 8-10),ILO Governing Body,,,,,,International Labour Organisation.,,,,ilot,,[electronic resource],,,,01786cam a2200373 a 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995021593402676,995021593402676,Memorandum on the organisation of the Labour Office,[Geneva] :,"ILO,",1920.,1 online resource (p. 6-8),ILO Governing Body,,,,prepared by the Organising Committee for the consideration of the Governing Body.,,International Labour Organisation.,,,,ilot,,[electronic resource] /,,,,01494cam a2200349 a 4500,1919
